fiscal_week_id,store_id,item_id,item_cost_amt,item_qty,sales_amt_no_discount,sales_amt
2019-11,7382791459,943157526,134.49,435,4716.74,11272.59
2019-11,7382791459,590815741,278.99,384,5040.08,13896.08
2019-11,7382791459,7952023441,249.81,356,6933.46,13569.4
2019-11,7382791459,8306458294,174.31,424,5748.53,9078.36
2019-11,7382791459,5386115794,98.13,461,2710.61,14199.56
2019-11,7382791459,1310617137,148.79,422,4410.6,11112.1
2019-11,7382791459,5662626083,166.61,474,2914.67,8670.42
2019-11,7382791459,994979923,120.54,470,4492.45,13183.87
2019-11,7382791459,4433742286,168.66,378,5104.69,12760.42
2019-11,7382791459,2064820915,272.54,396,6253.21,14315.3
2019-11,7382791459,8158750511,164.99,456,3758.67,8491.32
2019-11,7382791459,8524135444,258.71,425,2546.13,12500.79
2019-11,7382791459,2812300011,189.68,468,4858.95,9820.85
2019-11,7382791459,9713077150,114.3,368,6959.81,7883.13
2019-11,7382791459,3842884648,55.82,349,6229.51,13742.56
2019-11,7382791459,5590922980,90.93,470,6992.63,13725.19
2019-11,7382791459,9685775214,151.41,320,3414.92,13836.33
2019-11,7382791459,7600303007,69.44,437,3846.45,9336.5
2019-11,7382791459,4232000803,201.13,466,4511.85,9040.66
2019-11,7382791459,8823341865,68.72,473,2298.76,14991.57
2019-11,7382791459,7795216822,177.7,410,2684.29,12030.04
2019-11,7382791459,2099548339,127.18,405,3464.92,10527.29
2019-11,7382791459,5232424682,219.5,503,7775.79,7761.86
2019-11,7382791459,8130162427,238.79,483,5079.47,14036.17
2019-11,7382791459,8730098683,129.32,356,6595.2,13327.89
2019-11,7382791459,7101255339,128.35,458,5033.82,9026.14
2019-11,7382791459,3867856154,74.76,454,7392.93,11101.18
2019-11,7382791459,7282616365,256.7,350,5459.05,13982.86
2019-11,7382791459,5900366169,210.31,363,4977,8957.35
2019-11,7382791459,9373057053,137.7,462,6331.76,10980.08
2019-11,7382791459,1163151894,97.74,328,4377.48,12614.53
2019-11,7382791459,364732911,115.84,312,3218.58,9869.99
2019-11,7382791459,295824976,94.66,436,6149.33,11340.58
2019-11,7382791459,1921789501,177.67,422,6043.66,13963.72
2019-11,7382791459,5565169779,227.66,415,2980.83,11365.48
2019-11,7382791459,8324902437,283.55,404,7114.87,13696.61
2019-11,7382791459,6838903258,110.85,441,5221.15,13767.72
2019-11,7382791459,710945636,223,333,6034.44,10032.25
2019-11,7382791459,6295238698,259.63,516,4135.74,15398.1
2019-11,7382791459,9189053739,159.59,436,6337.26,12322.03
2019-11,7382791459,3731111418,56.09,374,4831.31,14588.35
2019-11,7382791459,7337302765,84.61,455,3443.7,12301.98
2019-11,7382791459,3422303487,282.69,362,4096.72,14338.09
2019-11,7382791459,8771967450,217.46,455,3670.71,9038.96
2019-11,7382791459,110182091,111.92,447,6500.72,13136.62
2019-11,7382791459,2619565507,61.12,467,3128.32,12055.64
2019-11,7382791459,6277647300,103.15,503,6388.64,13539.54
2019-11,7382791459,3745429857,50.49,337,6047.01,13671.03
2019-11,7382791459,2429948740,235.67,445,5653.03,12097.72
2019-11,7382791459,9013548770,90.81,462,2026.48,11783.84
2019-11,7382791459,1517999400,136.48,436,5289.37,15101.04
2019-11,7382791459,4627191884,144.82,416,3383.17,14498.32
2019-11,7382791459,6311620540,105.77,512,6890.42,12924.93
2019-11,7382791459,7429063851,139.47,379,3782,14957.22
2019-11,7382791459,5707412128,84.51,406,2356.5,8370.99
2019-11,7382791459,8314002278,284.34,290,2896.5,9256.26
2019-11,7382791459,1640343751,144.4,349,4858.28,13303.46
2019-11,7382791459,9768067357,155.26,447,7284.43,10866.18
2019-11,7382791459,9167859851,288.48,377,6384.14,11305.48
2019-11,7382791459,7196850026,149.88,388,3635.37,13397.78
2019-11,7382791459,1967383933,202.01,443,3604.38,13418.17
2019-11,7382791459,8871035152,100.95,329,6741.87,11879.9
2019-11,7382791459,634995391,267.75,321,5583.79,9030.96
2019-11,7382791459,5707643621,75.21,464,3817.9,9593.98
2019-11,7382791459,3683359342,198.43,306,7184.85,8826.24
2019-11,7382791459,9607302391,212.42,441,4633.57,8461.31
2019-11,7382791459,8649000732,92.2,436,3620.95,13673.1
2019-11,7382791459,1735133029,247.03,368,3520.81,7849.74
2019-11,7382791459,6252606095,133.36,486,6351.77,8844.91
2019-11,7382791459,597869590,179.41,438,6948.08,10651.25
2019-11,7382791459,382048003,84.54,356,2464.17,14504.7
2019-11,7382791459,7842669711,92.2,393,3086.73,7927.01
2019-11,7382791459,8279097282,193.18,338,5256.8,10064.81
2019-11,7382791459,2827266056,84.56,383,2554.94,12023.54
2019-11,7382791459,4327970099,242.81,450,7222.12,12215.07
2019-11,7382791459,9320951960,210.01,313,4292.35,9778.13
2019-11,7382791459,7591285727,248.03,349,2056.66,13222.61
2019-11,7382791459,1008290250,94.02,343,2087.55,10471.01
2019-11,7382791459,3772070751,115.22,358,3100.66,10984.93
2019-11,7382791459,826905783,160.01,316,5438.83,10423.84
2019-11,7382791459,6666914868,192.65,476,3822.05,10341.44
2019-11,7382791459,5838106728,157.49,407,5009.59,9811.81
2019-11,7382791459,6787772844,207.55,292,3524.99,8307.69
2019-11,7382791459,8587179516,146.54,431,5968.19,10656.84
2019-11,7382791459,6591102855,121.38,491,3347.26,11016.93
2019-11,7382791459,6117765041,192.24,324,6456.4,14968.03
2019-11,7382791459,8282589359,75.47,334,6161.09,9163.34
2019-11,7382791459,4342376893,202.21,358,5944.71,11456.25
2019-11,7382791459,8660418067,223.67,404,4641.59,8756.14
2019-11,7382791459,1889288396,281.38,330,3209.54,9236.78
2019-11,7382791459,3715236427,214.69,449,7741.67,9295.49
2019-11,7382791459,4030668994,61.57,339,3059.13,14375.81
2019-11,7382791459,7407047410,222.16,415,5157.19,8531.8
2019-11,7382791459,2785404690,252.66,446,2927.04,14418.06
2019-11,7382791459,40066459,160.5,437,2203.51,11760.34
2019-11,7382791459,3148444933,86.24,356,3789.46,8554.31
2019-11,7382791459,6334043794,170.18,395,4697.42,9324.75
2019-11,7382791459,7519578543,184.08,387,7478.36,10615.82
2019-11,7382791459,5305086176,49.85,400,3040.25,13588.85
2019-11,7382791459,8835637939,271.8,472,5422.33,13470.15
2019-11,7382791459,2229567002,141.38,425,6520.42,10881.14
2019-11,7382791459,5943204062,204.22,489,5858.54,11923.12
2019-11,7382791459,1803882375,280.34,394,3897.38,10809.17
2019-11,7382791459,6617497001,103.54,407,2305.8,13501.45
2019-11,7382791459,4664588338,108.85,475,6316.07,14783.03
2019-11,7382791459,8333384770,89.69,438,2664.72,8390.37
2019-11,7382791459,6995017868,178.67,460,3952.31,11797.25
2019-11,7382791459,9203442635,194.79,335,5255.29,8204.6
2019-11,7382791459,5336022119,104.77,497,3792.2,13171.29
2019-11,7382791459,8696740358,298.04,358,5776.87,12140.21
2019-11,7382791459,1359014035,246.51,474,5538.81,8176.8
2019-11,7382791459,9360406850,80.58,361,3589.23,13607.65
2019-11,7382791459,4013901684,133.39,453,3359.95,8897.16
2019-11,7382791459,4599423714,201.54,305,3804.83,13549.41
2019-11,7382791459,6605377028,121.85,406,5824.64,10470.92
2019-11,7382791459,8830409956,143.46,313,6599.18,14283.87
2019-11,7382791459,8944847704,109.55,422,5631.6,12385.64
2019-11,7382791459,1827110335,202.73,456,4622.97,10983.18
2019-11,7382791459,2222242797,251.81,406,3533.44,11791.8
2019-11,7382791459,2612615947,236.15,461,5952.58,12654.89
2019-11,7382791459,2876851490,112.66,441,2614.52,8640.17
2019-11,7382791459,573280183,134.3,317,2971.98,9649.98
2019-11,7382791459,2003576520,140.52,490,4543.19,10049.26
2019-11,7382791459,8258241784,289.5,396,2626.02,10607.78
2019-11,7382791459,226897731,61.01,425,6078.44,13592.02
2019-11,7382791459,4497137251,297.02,344,6392.4,12085.14
2019-11,7382791459,3824557564,228.51,310,3949.84,8449.16
2019-11,7382791459,4371923490,76.24,424,6770.21,12077.98
2019-11,7382791459,2181145569,70.68,458,5257.75,12777.24
2019-11,7382791459,5344725035,83.58,429,3604.06,12682.62
2019-11,7382791459,2077990442,119.69,297,2679.14,14876.26
2019-11,7382791459,568380424,67.79,415,6363.84,9990.07
2019-11,7382791459,8122619300,167.19,340,5502.52,8954.86
2019-11,7382791459,991944605,205.07,363,3752.07,9042.8
2019-11,7382791459,5001560208,99.21,333,5521.32,8917.33
2019-11,7382791459,2020390214,145.13,468,5831.68,9280.61
2019-11,7382791459,9955716600,152.62,444,6380.87,12877.94
2019-11,7382791459,8889770580,229.71,348,5539.5,10937.56
2019-11,7382791459,2860631783,300.73,300,5694.19,13796.79
2019-11,7382791459,4420879797,96.86,462,7037.81,9707.89
2019-11,7382791459,4969664403,275.92,403,6652.14,12505.92
2019-11,7382791459,9417732139,76.05,407,4246.32,9233.39
2019-11,7382791459,3792383018,138.04,310,5707.22,15075.92
2019-11,7382791459,9042827470,227.2,486,4931.94,9228.57
2019-11,7382791459,5987223966,96.53,416,3947.96,11801.72
2019-11,7382791459,5776725743,99.91,475,3143.5,8606.09
2019-11,7382791459,6714275994,190.35,317,6111.63,14551.65
2019-11,7382791459,3947027782,275.9,431,6742.26,10935.19
2019-11,7382791459,4085908696,223.04,470,5115.28,13988.07
2019-11,7382791459,2925921877,282.49,340,3392.48,8654.11
2019-11,7382791459,2819556651,135.48,398,5153.15,11275.2
2019-11,7382791459,3307208283,221.08,344,2323.68,11159.82
2019-11,7382791459,8335382298,249.94,341,4471.92,9860.44
2019-11,7382791459,6797140286,221.61,438,2125.37,10322.93
2019-11,7382791459,8815675369,55.78,478,6739.43,10077.91
2019-11,7382791459,8610252414,187.42,346,4636.72,8966.93
2019-11,7382791459,7960225174,176.48,298,4449.66,9644.86
2019-11,7382791459,4310818004,141.52,344,3786.92,11168.42
2019-11,7382791459,9230593666,139.49,489,4935.74,10750.8
2019-11,7382791459,8093541006,164.97,293,6097.58,10666.67
2019-11,7382791459,8645389469,274.73,414,7512.96,11896.53
2019-11,7382791459,8451126488,186.52,368,4287.85,10407.97
2019-11,7382791459,3126578006,268.8,309,5908.17,14983.04
2019-11,7382791459,4695138020,104.96,377,6623.25,12377.65
2019-11,7382791459,8300992849,197.53,372,2348.89,13355.49
2019-11,7382791459,9892616029,236.84,373,4088.99,11543.14
2019-11,7382791459,9482883063,126.25,365,4978.34,11099.12
2019-11,7382791459,7957819832,245.47,440,4626.32,8442.54
2019-11,7382791459,697239415,142,470,7156.18,15338.59
2019-11,7382791459,5192095761,100.05,448,5034.27,14233.94
2019-11,7382791459,1803685907,141.23,459,6502.39,15082.39
2019-11,7382791459,9129126210,135.44,389,2876.82,11986.23
2019-11,7382791459,476730659,203.81,383,3999.92,10846.33
2019-11,7382791459,9563830539,234.06,333,2868.18,8393.29
2019-11,7382791459,146177382,86.25,420,5906,10374.23
2019-11,7382791459,1216758957,167.84,325,4528.43,11375.46
2019-11,7382791459,7834430331,244.99,338,6718.91,9176.74
2019-11,7382791459,9144543518,200.27,506,2121.85,14248.92
2019-11,7382791459,5867418631,163.99,301,3647.22,10428.59
2019-11,7382791459,8472103867,239.69,378,2482.96,13918.32
2019-11,7382791459,8660065164,292.23,301,5760.06,14514.7
